Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
57643-55062,C,Nikola,Nikola Jokic,Jokic,55.198304257150426,59,11300,DEN@GS,DEN,GS,,,,,,C
57643-9642,PG,Russell,Russell Westbrook,Westbrook,51.31176279105392,51,11000,WAS@OKC,WAS,OKC,,,,,,PG
57643-9644,SG,James,James Harden,Harden,52.14186273619186,43,10600,BOS@BKN,BKN,BOS,O,Hamstring,,,,SG
57643-9524,PG,Stephen,Stephen Curry,Curry,47.18653752253606,52,10000,DEN@GS,GS,DEN,,,,,,PG
57643-14498,PG,Kyrie,Kyrie Irving,Irving,46.013635808771305,44,9700,BOS@BKN,BKN,BOS,,,,,,PG
57643-14513,SF,Kawhi,Kawhi Leonard,Leonard,45.41914789727394,47,9600,LAC@HOU,LAC,HOU,O,Foot,,,,SF
57643-84671,PG,Trae,Trae Young,Young,43.3777759693287,54,9500,MIA@ATL,ATL,MIA,O,Ankle,,,,PG
57643-80808,PF,Jayson,Jayson Tatum,Tatum,43.38113115418632,53,9500,BOS@BKN,BOS,BKN,,,,,,PF
57643-12341,SG,Paul,Paul George,George,41.017392365828805,46,9400,LAC@HOU,LAC,HOU,,,,,,SG
57643-14528,SF,Jimmy,Jimmy Butler,Butler,46.159522646949405,42,9300,MIA@ATL,MIA,ATL,,,,,,SF
57643-55059,C,Clint,Clint Capela,Capela,42.1500009390024,52,9300,MIA@ATL,ATL,MIA,GTD,Back,,,,C
57643-15595,SG,Bradley,Bradley Beal,Beal,45.087998046875,50,9000,WAS@OKC,WAS,OKC,,,,,,SG
57643-9646,SF,Kevin,Kevin Durant,Durant,44.96666463216146,24,8900,BOS@BKN,BKN,BOS,GTD,Thigh,,,,SF
57643-20848,PG,Damian,Damian Lillard,Lillard,45.10740831163194,54,8700,MEM@POR,POR,MEM,,,,,,PG
57643-80817,C,Bam,Bam Adebayo,Adebayo,41.78461632361779,52,8500,MIA@ATL,MIA,ATL,,,,,,C
57643-84667,SG,Collin,Collin Sexton,Sexton,35.275510204081634,49,8200,CLE@CHA,CLE,CHA,,,,,,SG
57643-42677,PG,Terry,Terry Rozier,Rozier,34.692593044704864,54,8100,CLE@CHA,CHA,CLE,,,,,,PG
57643-67026,SF,Jaylen,Jaylen Brown,Brown,38.9537037037037,54,8100,BOS@BKN,BOS,BKN,O,Shoulder,,,,SF
57643-42202,PF,Christian,Christian Wood,Wood,38.883334689670136,36,8000,LAC@HOU,HOU,LAC,,,,,,PF
57643-12332,PG,John,John Wall,Wall,36.23589618389423,39,7800,LAC@HOU,HOU,LAC,,,,,,PG
57643-19067,SG,CJ,CJ McCollum,McCollum,38.71212121212121,33,7800,MEM@POR,POR,MEM,,,,,,SG
57643-14503,C,Jonas,Jonas Valanciunas,Valanciunas,36.93199951171875,50,7600,MEM@POR,MEM,POR,GTD,Concussion,,,,C
57643-110344,PG,Ja,Ja Morant,Morant,34.58367297114158,49,7500,MEM@POR,MEM,POR,,,,,,PG
57643-55060,SF,Bogdan,Bogdan Bogdanovic,Bogdanovic,25.908824247472428,34,7500,MIA@ATL,ATL,MIA,,,,,,SF
57643-84682,SF,Michael,Michael Porter,Porter,31.78333282470703,48,7400,DEN@GS,DEN,GS,,,,,,SF
57643-15860,PF,Draymond,Draymond Green,Green,31.654902439491423,51,7400,DEN@GS,GS,DEN,,,,,,PF
57643-66236,PF,John,John Collins,Collins,32.4,50,7200,MIA@ATL,ATL,MIA,,,,,,PF
57643-84678,SF,Miles,Miles Bridges,Bridges,24.23508814761513,57,7200,CLE@CHA,CHA,CLE,,,,,,SF
57643-110342,PG,Darius,Darius Garland,Garland,30.21875,48,7200,CLE@CHA,CLE,CHA,,,,,,PG
57643-12366,SF,Gordon,Gordon Hayward,Hayward,35.25227217240767,44,7000,CLE@CHA,CHA,CLE,O,Foot,,,,SF
57643-84680,SG,Shai,Shai Gilgeous-Alexander,Gilgeous-Alexander,39.53428431919643,35,7000,WAS@OKC,OKC,WAS,O,Foot,,,,SG
57643-49116,SG,Andrew,Andrew Wiggins,Wiggins,31.108474990068856,59,7000,DEN@GS,GS,DEN,,,,,,SG
57643-23670,SG,Marcus,Marcus Smart,Smart,30.0105269582648,38,6900,BOS@BKN,BOS,BKN,,,,,,SG
57643-14507,PG,Kemba,Kemba Walker,Walker,32.116217535895274,37,6900,BOS@BKN,BOS,BKN,,,,,,PG
57643-58153,SF,Kelly,Kelly Oubre,Oubre,28.626922607421875,52,6800,DEN@GS,GS,DEN,,,,,,SF
57643-110637,PF,Darius,Darius Bazley,Bazley,25.413954623909884,43,6700,WAS@OKC,OKC,WAS,,,,,,PF
57643-110352,PF,P.J.,P.J. Washington,Washington,28.41199951171875,50,6500,CLE@CHA,CHA,CLE,,,,,,PF
57643-80821,C,Jarrett,Jarrett Allen,Allen,31.736734195631378,49,6500,CLE@CHA,CLE,CHA,,,,,,C
57643-17333,SG,Will,Will Barton,Barton,25.003635475852274,55,6400,DEN@GS,DEN,GS,,,,,,SG
57643-23716,SF,Kyle,Kyle Anderson,Anderson,29.758180930397728,55,6300,MEM@POR,MEM,POR,,,,,,SF
57643-9874,PF,Kevin,Kevin Love,Love,23.719999186197917,15,6200,CLE@CHA,CLE,CHA,,,,,,PF
57643-84694,SG,Bruce,Bruce Brown,Brown,20.547272283380682,55,6200,BOS@BKN,BKN,BOS,,,,,,SG
57643-16293,SF,Norman,Norman Powell,Powell,28.03214372907366,56,6200,MEM@POR,POR,MEM,,,,,,SF
57643-20992,PF,Larry,Larry Nance,Nance,27.636363636363637,33,6000,CLE@CHA,CLE,CHA,,,,,,PF
57643-84706,SG,Devonte',Devonte' Graham,Graham,26.828889973958333,45,6000,CLE@CHA,CHA,CLE,,,,,,SG
57643-110345,SF,Kevin,Kevin Porter,Porter,29.404761904761905,21,6000,LAC@HOU,HOU,LAC,O,Covid-19,,,,SF
57643-145576,PF,Jae'Sean,Jae'Sean Tate,Tate,24.97966184454449,59,5900,LAC@HOU,HOU,LAC,,,,,,PF
57643-15684,SG,Victor,Victor Oladipo,Oladipo,35.378787878787875,33,5900,MIA@ATL,MIA,ATL,O,Knee,,,,SG
57643-84683,PF,Jaren,Jaren Jackson,Jackson,36.599998474121094,1,5800,MEM@POR,MEM,POR,,,,,,PF
57643-55057,C,Jusuf,Jusuf Nurkic,Nurkic,26.682609226392664,23,5800,MEM@POR,POR,MEM,,,,,,C
57643-117286,C,Moses,Moses Brown,Brown,23.223333740234374,30,5700,WAS@OKC,OKC,WAS,,,,,,C
57643-23096,SG,Evan,Evan Fournier,Fournier,29.413334147135416,30,5700,BOS@BKN,BOS,BKN,O,Covid-19,,,,SG
57643-111273,SF,Luguentz,Luguentz Dort,Dort,23.257777235243054,45,5700,WAS@OKC,OKC,WAS,GTD,Hip,,,,SF
57643-14512,PF,Marcus,Marcus Morris,Morris,21.741666158040363,48,5700,LAC@HOU,LAC,HOU,,,,,,PF
57643-70827,C,Ivica,Ivica Zubac,Zubac,22.470491002817624,61,5600,LAC@HOU,LAC,HOU,,,,,,C
57643-110312,SG,Tyler,Tyler Herro,Herro,27.365956407912233,47,5600,MIA@ATL,MIA,ATL,GTD,Foot,,,,SG
57643-9673,PG,Goran,Goran Dragic,Dragic,24.18205065604968,39,5600,MIA@ATL,MIA,ATL,,,,,,PG
57643-14516,C,Enes,Enes Kanter,Kanter,30.148275441136853,58,5500,MEM@POR,POR,MEM,,,,,,C
