Position,Nickname,Salary
PG,Luka Doncic,11500
C,Nikola Jokic,11400
PG,Russell Westbrook,11200
C,Joel Embiid,10700
PF,Julius Randle,10100
SG,Paul George,10000
C,Karl-Anthony Towns,9700
PF,Zion Williamson,9700
C,Clint Capela,9600
SG,Bradley Beal,9400
SF,Jimmy Butler,9300
PF,Anthony Davis,9200
PF,Pascal Siakam,9000
C,Nikola Vucevic,8700
PG,Chris Paul,8500
C,Bam Adebayo,8500
SF,Brandon Ingram,8100
C,Rudy Gobert,8100
SG,DeMar DeRozan,8100
SG,Devin Booker,8000
PF,Kristaps Porzingis,8000
PG,Ja Morant,7900
PG,Darius Garland,7600
SF,Bogdan Bogdanovic,7500
C,Jonas Valanciunas,7400
SF,Michael Porter,7400
SG,Fred VanVleet,7300
PF,Tobias Harris,7200
PF,John Collins,7100
PG,Mike Conley,7100
PF,Harrison Barnes,7000
C,Deandre Ayton,7000
PG,Dennis Schroder,7000
PF,Darius Bazley,6900
C,Andre Drummond,6900
PG,Kyle Lowry,6900
SF,Anthony Edwards,6900
PG,Dejounte Murray,6800
SG,Nickeil Alexander-Walker,6800
PF,Jerami Grant,6800
C,Richaun Holmes,6700
PG,Cole Anthony,6700
SF,Buddy Hield,6600
PF,Jaren Jackson,6600
C,Jakob Poeltl,6500
SF,OG Anunoby,6500
C,Wendell Carter,6400
SF,Joe Ingles,6400
PG,Coby White,6300
SG,D'Angelo Russell,6300
SF,Kyle Anderson,6100
PF,Marcus Morris,6100
PG,Lonzo Ball,6100
SG,Tyrese Haliburton,6100
SG,Jordan Clarkson,6000
PG,Reggie Jackson,6000
SF,RJ Barrett,6000
SG,Kevin Huerter,5900
PG,Delon Wright,5900
PG,Derrick White,5800
PF,Kevin Love,5800
SG,Gary Trent,5800
C,Mason Plumlee,5800
PG,Derrick Rose,5800
SF,Kyle Kuzma,5700
C,Jarrett Allen,5700
PG,Kendrick Nunn,5700
C,Mo Bamba,5600
SG,Dillon Brooks,5600
PF,Isaiah Stewart,5600
C,Steven Adams,5500
SG,Tyler Herro,5500
PF,Royce O'Neale,5500
SG,Josh Jackson,5500
SF,Dorian Finney-Smith,5500
C,Ivica Zubac,5400
SF,Bojan Bogdanovic,5400
SF,Danilo Gallinari,5400
PF,Xavier Tillman,5400
PF,Larry Nance,5300
SF,Mikal Bridges,5300
C,Nerlens Noel,5300
SF,Saddiq Bey,5300
PG,Goran Dragic,5300
C,Moses Brown,5200
SG,Jalen Brunson,5200
PF,Chuma Okeke,5200
SF,Kentavious Caldwell-Pope,5200
SF,Kenrich Williams,5200
SF,Nicolas Batum,5100
SG,Terance Mann,5100
PF,Daniel Gafford,5100
C,Dwight Howard,5100
SF,James Ennis,5000
PG,Cory Joseph,5000
PF,Khem Birch,5000
SG,Talen Horton-Tucker,5000
SG,Lou Williams,5000
PF,Thaddeus Young,5000
PF,Aaron Gordon,4900
SG,De'Anthony Melton,4900
PG,Monte Morris,4900
PG,Brandon Goodwin,4900
SG,Duncan Robinson,4800
PG,Ricky Rubio,4800
PF,Isaiah Hartenstein,4800
PG,Theo Maledon,4700
PF,Davis Bertans,4700
PG,Shake Milton,4700
C,Naz Reid,4700
SF,Danny Green,4600
PG,Tomas Satoransky,4600
SG,PJ Dozier,4600
PF,Taj Gibson,4600
SF,Josh Richardson,4600
PF,Tony Bradley,4600
C,Hassan Whiteside,4500
SG,Svi Mykhailiuk,4500
PG,Raul Neto,4500
PF,Rudy Gay,4500
SF,Naji Marshall,4500
SG,Terrence Ross,4400
PF,Daniel Theis,4400
PF,Aleksej Pokusevski,4400
SF,Keldon Johnson,4400
SG,Eric Bledsoe,4300
PG,Facundo Campazzo,4300
SG,Grayson Allen,4300
PF,James Johnson,4300
C,Dwight Powell,4300
PF,Jaden McDaniels,4300
PF,Paul Millsap,4200
SF,Solomon Hill,4200
PG,Killian Hayes,4200
PF,Maxi Kleber,4200
C,Montrezl Harrell,4200
SG,Ty Jerome,4200
PG,Malachi Flynn,4200
C,DeMarcus Cousins,4100
SG,Terence Davis,4100
PG,R.J. Hampton,4100
SF,Cameron Johnson,4100
PF,Isaiah Roby,4100
PF,Trevor Ariza,4100
PG,Frank Jackson,4100
SG,Tim Hardaway,4100
SG,Reggie Bullock,4000
SG,Furkan Korkmaz,4000
PG,Yogi Ferrell,4000
C,Chimezie Metu,4000
SG,Seth Curry,4000
C,Willie Cauley-Stein,4000
SF,Maurice Harkless,4000
PF,Jae Crowder,4000
SF,Stanley Johnson,4000
SG,Dwayne Bacon,3900
SF,Donta Hall,3900
PF,Anthony Gill,3900
PG,Austin Rivers,3900
C,Onyeka Okongwu,3900
PF,Freddie Gillespie,3900
SG,Immanuel Quickley,3900
C,Drew Eubanks,3900
C,Damian Jones,3800
C,Willy Hernangomez,3800
PF,Markieff Morris,3800
PG,Elfrid Payton,3800
PF,Brandon Clarke,3800
SF,Garrett Temple,3800
SG,Ben McLemore,3800
SF,Patrick Williams,3800
SG,Gary Harris,3800
PG,George Hill,3800
PF,Patrick Patterson,3700
SF,Josh Okogie,3700
SG,Patty Mills,3700
SG,Chasson Randle,3700
PG,Alex Caruso,3700
PF,Lauri Markkanen,3700
SG,Isaac Okoro,3700
SF,Denzel Valentine,3700
SG,Hamidou Diallo,3600
PG,Ish Smith,3600
SG,Wayne Ellington,3600
SF,Justise Winslow,3600
PG,Rajon Rondo,3600
SF,Matisse Thybulle,3600
PF,Jaxson Hayes,3600
PG,Kira Lewis,3600
C,Dewayne Dedmon,3600
SG,Tyrese Maxey,3600
SF,Alfonzo McKinnie,3500
PF,Norvel Pelle,3500
SF,Garrison Mathews,3500
PG,Gabe Vincent,3500
C,JaVale McGee,3500
SG,Theo Pinson,3500
PG,Jeremiah Martin,3500
PF,Chris Silva,3500
SG,Rodney Hood,3500
SF,Vlatko Cancar,3500
SF,Robert Franks,3500
PF,Juwan Morgan,3500
C,Aron Baynes,3500
PF,JaMychal Green,3500
PF,Sekou Doumbouya,3500
SF,Deividas Sirvydis,3500
PF,Luka Samanic,3500
PF,Devontae Cacok,3500
PF,Al-Farouq Aminu,3500
PG,Jared Harper,3500
PF,Simi Shittu,3500
C,Derrick Favors,3500
PF,Frank Kaminsky,3500
SG,Javonte Green,3500
SF,Max Strus,3500
SG,Wesley Matthews,3500
SG,Myles Powell,3500
C,Ed Davis,3500
PF,Nemanja Bjelica,3500
PF,Nathan Knight,3500
SF,Jaylen Hoard,3500
PG,Jordan McLaughlin,3500
PG,Matthew Dellavedova,3500
PF,Nicolo Melli,3500
PF,Georges Niang,3500
SG,Sindarius Thornwell,3500
PG,Damyean Dotson,3500
SG,Jay Scrubb,3500
SF,James Nunnally,3500
C,Robin Lopez,3500
SF,Cedi Osman,3500
PF,Juancho Hernangomez,3500
SG,DeAndre' Bembry,3500
PG,Ryan Arcidiacono,3500
PF,Anthony Tolliver,3500
SF,Kevin Knox,3500
PG,Tim Frazier,3500
SF,Keita Bates-Diop,3500
SG,Jevon Carter,3500
SF,E'Twaun Moore,3500
SG,Ty-Shon Alexander,3500
SG,Lonnie Walker,3500
PG,Tyus Jones,3500
SF,Chandler Hutchison,3500
PF,Killian Tillie,3500
C,Jahlil Okafor,3500
SF,Jake Layman,3500
SF,KZ Okpala,3500
SF,Jarrell Brantley,3500
C,Bol Bol,3500
SG,Mason Jones,3500
SG,Matt Thomas,3500
PG,Jaylen Nowell,3500
PF,Jarred Vanderbilt,3500
PF,Isaac Bonga,3500
PF,Kostas Antetokounmpo,3500
SG,Miye Oni,3500
SG,Yuta Watanabe,3500
PF,Bruno Fernando,3500
SF,Jarrett Culver,3500
SG,Justin James,3500
PG,Justin Robinson,3500
SG,Quinndary Weatherspoon,3500
PF,Dario Saric,3500
SG,John Konchar,3500
SF,Mfiondu Kabengele,3500
SG,Kyle Guy,3500
PF,Tyler Cook,3500
PF,Dean Wade,3500
SG,Adam Mokoka,3500
PG,Karim Mane,3500
SG,Wes Iwundu,3500
SF,Jontay Porter,3500
SG,Torrey Craig,3500
PG,Shaquille Harrison,3500
PF,Jordan Bell,3500
SG,Nate Hinton,3500
SG,Brodric Thomas,3500
SG,Langston Galloway,3500
C,Boban Marjanovic,3500
C,Marc Gasol,3500
PF,Udonis Haslem,3500
PF,Ersan Ilyasova,3500
PF,Amir Coffey,3500
SG,Skylar Mays,3500
C,Gorgui Dieng,3500
PF,Zeke Nnaji,3500
PG,Saben Lee,3500
PF,Precious Achiuwa,3500
SF,Elijah Hughes,3500
PF,Jalen Smith,3500
PG,Tre Jones,3500
C,Daniel Oturu,3500
PG,Frank Ntilikina,3500
SG,Devin Vassell,3500
SG,Josh Green,3500
PG,Isaiah Joe,3500
SF,Gabriel Deck,3500
SF,Paul Reed,3500
SG,Desmond Bane,3500
SF,Tyler Bey,3500
SF,JJ Redick,3500
PG,Cameron Payne,3500
PG,Jahmi'us Ramsey,3500
SF,Obi Toppin,3500
PG,Jalen Harris,3500
C,Alex Len,3500
PG,Cassius Winston,3500
SG,Devon Dotson,3500
SG,Trent Forrest,3500
PG,Markus Howard,3500
SF,Jared Dudley,3500
SF,Sean McDermott,3500
PF,Lamar Stevens,3500
PG,Rayjon Tucker,3500
PF,Wenyen Gabriel,3500
PG,Trey Burke,3500
PF,Mike Scott,3500
C,Cristiano Felicio,3500
