Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
57818-84669,PG,Luka,Luka Doncic,Doncic,51.223637251420456,55,11500,DAL@SAC,DAL,SAC,GTD,Elbow,,,,PG
57818-55062,C,Nikola,Nikola Jokic,Jokic,54.82786885245902,61,11400,MEM@DEN,DEN,MEM,,,,,,C
57818-9642,PG,Russell,Russell Westbrook,Westbrook,51.30377542747642,53,11200,SA@WAS,WAS,SA,,,,,,PG
57818-49111,C,Joel,Joel Embiid,Embiid,52.08536585365854,41,10700,OKC@PHI,PHI,OKC,GTD,Shoulder,,,,C
57818-42669,PF,Julius,Julius Randle,Randle,45.154096759733605,61,10100,PHO@NY,NY,PHO,,,,,,PF
57818-12341,SG,Paul,Paul George,George,41.3106377784242,47,10000,LAC@NO,LAC,NO,,,,,,SG
57818-9488,SF,LeBron,LeBron James,James,47.083333333333336,42,10000,LAL@ORL,LAL,ORL,O,Ankle,,,,SF
57818-80810,PG,De'Aaron,De'Aaron Fox,Fox,43.070691338900865,58,9800,DAL@SAC,SAC,DAL,O,Covid-19,,,,PG
57818-58462,C,Karl-Anthony,Karl-Anthony Towns,Towns,47.833333333333336,39,9700,UTA@MIN,MIN,UTA,,,,,,C
57818-110310,PF,Zion,Zion Williamson,Williamson,42.605355398995535,56,9700,LAC@NO,NO,LAC,,,,,,PF
57818-14513,SF,Kawhi,Kawhi Leonard,Leonard,45.41914789727394,47,9600,LAC@NO,LAC,NO,O,Foot,,,,SF
57818-55059,C,Clint,Clint Capela,Capela,41.869813163325475,53,9600,ATL@DET,ATL,DET,,,,,,C
57818-84671,PG,Trae,Trae Young,Young,43.3777759693287,54,9500,ATL@DET,ATL,DET,O,Ankle,,,,PG
57818-15595,SG,Bradley,Bradley Beal,Beal,45.13077016977164,52,9400,SA@WAS,WAS,SA,,,,,,SG
57818-14528,SF,Jimmy,Jimmy Butler,Butler,45.96818126331676,44,9300,CHI@MIA,MIA,CHI,,,,,,SF
57818-66113,SG,Donovan,Donovan Mitchell,Mitchell,40.37592683015046,54,9200,UTA@MIN,UTA,MIN,O,Ankle,,,,SG
57818-15755,PF,Anthony,Anthony Davis,Davis,42.56,25,9200,LAL@ORL,LAL,ORL,GTD,Calf,,,,PF
57818-40783,SG,Zach,Zach LaVine,LaVine,41.329630533854164,54,9100,CHI@MIA,CHI,MIA,O,Covid-19,,,,SG
57818-60021,PF,Pascal,Pascal Siakam,Siakam,40.018750508626304,48,9000,CLE@TOR,TOR,CLE,,,,,,PF
57818-14514,C,Nikola,Nikola Vucevic,Vucevic,45.804837134576616,62,8700,CHI@MIA,CHI,MIA,,,,,,C
57818-9623,PG,Chris,Chris Paul,Paul,37.48999837239583,60,8500,PHO@NY,PHO,NY,,,,,,PG
57818-80817,C,Bam,Bam Adebayo,Adebayo,41.742594401041664,54,8500,CHI@MIA,MIA,CHI,,,,,,C
