Date,FD Points,Player Name,Salary,Position
2020-12-22,14.4,Damion Lee,3900,SG
2020-12-22,23.4,Kelly Oubre,6400,SF
2020-12-22,24.2,Nicolas Batum,3500,SF
2020-12-22,25.4,Anthony Davis,10600,PF
2020-12-22,31.5,LeBron James,11000,SF
2020-12-22,35.9,Kawhi Leonard,9500,SF
2020-12-22,43.5,Kevin Durant,8500,PF
2020-12-22,0.0,Jay Scrubb,3500,SG
2020-12-22,0.0,Chris Chiozza,3500,PG
2020-12-22,0.0,Klay Thompson,3500,SG
2020-12-22,0.0,Terance Mann,3500,SG
2020-12-22,0.0,Quinn Cook,3500,PG
2020-12-22,1.2,Reggie Jackson,4200,SG
2020-12-22,2.7,Bruce Brown,3700,SG
2020-12-22,3.9,Alex Caruso,3900,PG
2020-12-22,6.4,Timothe Luwawu,3600,SG
2020-12-22,24.2,Serge Ibaka,5500,PF
2020-12-22,6.9,Jordan Poole,3800,PG
2020-12-22,42.8,Stephen Curry,8700,PG
2020-12-22,4.2,Tyler Johnson,3500,PG
2020-12-22,42.7,Paul George,7600,SG
2020-12-22,39.4,Dennis Schroder,5000,SG
2020-12-22,19.7,Patrick Beverley,4200,PG
2020-12-22,18.0,Spencer Dinwiddie,5200,SG
2020-12-22,35.8,Kyrie Irving,9000,PG
2020-12-22,16.9,Louis Williams,5300,PG
2020-12-22,15.9,Andrew Wiggins,6600,SG
2020-12-22,9.2,Talen Horton-Tucker,3500,SG
2020-12-22,8.2,Landry Shamet,3900,SG
2020-12-22,7.7,Brad Wanamaker,3700,PG
2020-12-22,17.4,Luke Kennard,4000,SG
2020-12-22,45.3,Caris LeVert,5800,SF
2020-12-22,10.5,Jeff Green,3500,PF
2020-12-22,19.9,Kentavious Caldwell-Pope,3700,SG
2020-12-22,26.4,Jarrett Allen,4800,C
2020-12-22,0.0,Nico Mannion,3500,PG
2020-12-22,0.0,Daniel Oturu,3500,C
2020-12-22,1.7,Marc Gasol,3800,C
2020-12-22,4.4,Kevon Looney,4100,C
2020-12-22,21.7,DeAndre Jordan,4500,C
2020-12-22,24.7,Ivica Zubac,4700,C
2020-12-22,31.2,James Wiseman,4200,C
2020-12-22,35.5,Montrezl Harrell,5100,C
2020-12-22,0.0,Nicolas Claxton,3500,PF
2020-12-22,0.0,Alen Smailagic,3500,PF
2020-12-22,0.0,Devontae Cacok,3500,PF
2020-12-22,0.0,Marcus Morris,4200,PF
