Position,Nickname,Salary
C,Nikola Jokic,11300
PG,Russell Westbrook,11000
PG,Stephen Curry,10000
PG,Kyrie Irving,9700
PF,Jayson Tatum,9500
SG,Paul George,9400
SF,Jimmy Butler,9300
C,Clint Capela,9300
SG,Bradley Beal,9000
SF,Kevin Durant,8900
PG,Damian Lillard,8700
C,Bam Adebayo,8500
SG,Collin Sexton,8200
PG,Terry Rozier,8100
PF,Christian Wood,8000
PG,John Wall,7800
SG,CJ McCollum,7800
C,Jonas Valanciunas,7600
PG,Ja Morant,7500
SF,Bogdan Bogdanovic,7500
SF,Michael Porter,7400
PF,Draymond Green,7400
PF,John Collins,7200
SF,Miles Bridges,7200
PG,Darius Garland,7200
SG,Andrew Wiggins,7000
SG,Marcus Smart,6900
PG,Kemba Walker,6900
SF,Kelly Oubre,6800
PF,Darius Bazley,6700
PF,P.J. Washington,6500
C,Jarrett Allen,6500
SG,Will Barton,6400
SF,Kyle Anderson,6300
PF,Kevin Love,6200
SG,Bruce Brown,6200
SF,Norman Powell,6200
PF,Larry Nance,6000
SG,Devonte' Graham,6000
PF,Jae'Sean Tate,5900
PF,Jaren Jackson,5800
C,Jusuf Nurkic,5800
C,Moses Brown,5700
SF,Luguentz Dort,5700
PF,Marcus Morris,5700
C,Ivica Zubac,5600
SG,Tyler Herro,5600
PG,Goran Dragic,5600
C,Enes Kanter,5500
PG,Reggie Jackson,5500
SF,Kenrich Williams,5500
SF,Danilo Gallinari,5500
PF,Robert Covington,5400
SG,Kevin Huerter,5400
PG,Kendrick Nunn,5400
PF,Daniel Gafford,5300
PF,Jalen McDaniels,5300
SF,Kent Bazemore,5300
SF,Joe Harris,5300
C,Kelly Olynyk,5200
SG,Terance Mann,5200
SG,Dillon Brooks,5200
PF,Isaiah Hartenstein,5200
SG,Lou Williams,5200
SF,Nicolas Batum,5100
PF,Aaron Gordon,5100
SG,De'Anthony Melton,5000
SF,Carmelo Anthony,5000
PF,Blake Griffin,5000
C,DeAndre Jordan,5000
PF,Xavier Tillman,5000
PG,Brandon Goodwin,5000
SG,Luke Kennard,5000
PF,Tony Bradley,4900
PF,Aleksej Pokusevski,4800
C,Tristan Thompson,4800
PF,Davis Bertans,4800
SG,Svi Mykhailiuk,4800
SG,Landry Shamet,4800
SG,Grayson Allen,4700
PF,Jeff Green,4700
PG,Theo Maledon,4600
SG,Duncan Robinson,4600
SF,Rui Hachimura,4600
PG,Jordan Poole,4500
SG,Ty Jerome,4500
C,Cody Zeller,4500
SF,Andre Iguodala,4400
PF,Jabari Parker,4300
