Date,Slate,Contest,Cost,Min Cash Score,Min Cash,1st Place Score,1st Place Cash
4/2/21,Main,$300K Fri NBA Clutch Shot ($50k to 1st),$4.44 ,329.7,8,411.8,50000
4/4/21,Main,$300K Sun NBA Clutch Shot ($50k to 1st),$4.44 ,304.2,8,394.9,50000
4/5/21,Main,$300K Mon NBA Clutch Shot ($50k to 1st),$4.44 ,315.1,8,397,50000
4/6/21,Main,$400K Tue NBA Clutch Shot ($100k to 1st),$5 ,293.9,8,377.5,100000
4/7/21,Main,$333K Wed NBA Clutch Shot ($50k to 1st),$4.44 ,313.2,8,400.3,50000
4/8/21,Main,$300K Thu NBA Clutch Shot ($50k to 1st),$4.44 ,330.7,8,419.1,50000
4/9/21,Main,$300K Fri NBA Clutch Shot ($50k to 1st),$5 ,342.2,8,428.5,50000
4/10/21,Main,$300K Sat NBA Clutch Shot ($50k to 1st),$5 ,315.7,8,421.5,50000
4/11/21,Main,$300K Sun NBA Clutch Shot ($50k to 1st),$5.55 ,326.8,10,428.9,50000
4/12/21,Main,$333K Mon NBA Clutch Shot ($50k to 1st),$4.44 ,303.2,8,390.8,50000
4/13/21,Main,$300K Tue NBA Clutch Shot ($50k to 1st),$4.44 ,323.5,8,403.6,50000
4/14/21,Main,$300K Wed NBA Clutch Shot ($50k to 1st),$4.44 ,337.3,8,432.5,50000
4/15/21,Main,$33K Thu NBA Clutch Shot ($50k to 1st),$4 ,280.9,8,356.8,50000
4/16/21,Main,$300K Fri NBA Clutch Shot ($50k to 1st),$4.44 ,350,8,450.3,50000
4/17/21,Main,$300K Sat NBA Clutch Shot ($50k to 1st),$4.44 ,319.1,8,390.6,50000
4/18/21,Main,$300K Sun NBA Clutch Shot ($50k to 1st),$5 ,342.1,8,423.5,50000
4/19/21,Main,$300K Mon NBA Clutch Shot ($50k to 1st),$4.44 ,358,8,460.8,50000
4/20/21,Main,"$300K Tue NBA Shot ($50K to 1st, Block Party Eligible)",$4.44 ,317.1,8,375.2,50000
4/21/21,Main,"$300K Wed NBA Shot ($50K to 1st, Block Party Eligible)",$4.44 ,354.1,8,466.3,50000
4/22/21,Main,"$300K Thu NBA Shot ($50K to 1st, Block Party Eligible)",$4.44 ,291.4,8,372,50000
4/23/21,Main,"$300K Fri NBA Shot ($50K to 1st, Block Party Eligible)",$4.44 ,336.4,8,420.5,50000
4/24/21,Main,$300K Sat NBA Clutch Shot ($50k to 1st),$5 ,354.2,8,425,50000
4/25/21,Main,$300K Sun NBA Shot ($50K to 1st),$5.55 ,331.6,10,403,50000
4/26/21,Main,"$300K Mon NBA Shot ($50K to 1st, Block Party Eligible)",$5 ,307.9,8,396.2,50000
