Player,FanDuel Points Prediction
Nikola Jokic,55.69805119292061
Giannis Antetokounmpo,54.76121495029533
James Harden,53.73002848825356
Joel Embiid,53.193379454841796
Luka Doncic,50.87410368892008
Russell Westbrook,48.293690350006614
LeBron James,47.35867405114965
Kevin Durant,47.31812129270713
Karl-Anthony Towns,46.98419661871217
Damian Lillard,46.847182386531905
Nikola Vucevic,46.82103438253218
Kyrie Irving,46.54860238137815
Stephen Curry,46.09179473603201
Bradley Beal,45.96313847956031
Kawhi Leonard,45.593266726413376
Anthony Davis,44.993757043452476
Domantas Sabonis,44.897746793548855
Jimmy Butler,44.624154539523836
Julius Randle,44.54887977194361
Trae Young,43.81989182548593
Jayson Tatum,43.173105406893015
Zion Williamson,42.73419919521022
Bam Adebayo,42.00836110493456
Rudy Gobert,41.24802798356979
Donovan Mitchell,40.53998970490949
Clint Capela,40.50318761238094
Zach LaVine,40.44239399837305
Christian Wood,40.34433071256836
Fred VanVleet,39.983936486972965
De'Aaron Fox,39.952366253725124
Jaylen Brown,39.712847085645315
Paul George,39.56591191065601
Shai Gilgeous-Alexander,39.39866493018367
Ben Simmons,38.87767999003077
Brandon Ingram,38.67167871617302
Tobias Harris,38.4448804135749
Pascal Siakam,38.418635109361844
DeMar DeRozan,38.289272241044934
Kristaps Porzingis,38.258658643172595
Devin Booker,37.24914306414849
Khris Middleton,37.11607757859864
CJ McCollum,37.067021787730255
Malcolm Brogdon,37.02379825467446
Chris Paul,36.73188926687828
Victor Oladipo,36.157788861888825
Andre Drummond,36.03755832085851
Gordon Hayward,35.59694535817736
Jonas Valanciunas,35.52145108261538
Kyle Lowry,35.39787050952314
Jamal Murray,35.06002630373271
Jerami Grant,34.777945159205146
John Wall,34.73123812149877
Ja Morant,34.70396006774898
Collin Sexton,34.49294568209346
Dejounte Murray,34.21863262074
Jrue Holiday,34.06933001064734
LaMelo Ball,33.771554906086514
Myles Turner,33.60942915303241
Terry Rozier,33.06052435850085
Deandre Ayton,32.62292979423364
Jarrett Allen,32.33329902851394
Caris LeVert,32.254870620875344
Richaun Holmes,31.916059354533008
John Collins,31.6033411091154
Al Horford,31.586127587712067
Mike Conley,31.457187405190567
Lonzo Ball,31.312001241132943
Buddy Hield,31.060426871262383
Michael Porter Jr.,30.947414998568046
Kemba Walker,30.91382886507585
OG Anunoby,30.48661375195555
Enes Kanter,30.24597918574816
Mason Plumlee,30.19573503112476
Harrison Barnes,30.029010389548038
D'Angelo Russell,29.83371990109813
Andrew Wiggins,29.820241786759492
RJ Barrett,29.817514271612744
Draymond Green,29.779564367948662
Thaddeus Young,29.32119460523798
Malik Beasley,28.855778805475072
Evan Fournier,28.617418985111637
Montrezl Harrell,28.442010884900856
Dennis Schroder,28.41957964873735
Kyle Anderson,28.335473757555928
Marcus Smart,28.276436346437816
Aaron Gordon,28.175517692300883
Tyrese Haliburton,28.15890483162727
Darius Garland,28.157564751164923
Tyler Herro,28.148926440190422
Chris Boucher,27.84220368469996
Kelly Oubre Jr.,27.701558282293803
P.J. Washington,27.658916162803052
Robert Covington,27.538486705195144
Delon Wright,27.396388524844337
Anthony Edwards,27.386765924015155
Lauri Markkanen,27.194604482221937
Devonte' Graham,26.875205509956572
Larry Nance Jr.,26.78426881319816
Mikal Bridges,26.55627209186217
Derrick White,26.516309149323952
Coby White,26.50312519206542
Jordan Clarkson,26.43656669261525
Terrence Ross,26.40608340449594
Wendell Carter Jr.,26.097663138378998
Brandon Clarke,26.074974534717242
Dillon Brooks,26.066098621762958
De'Andre Hunter,25.80478600981996
Marvin Bagley III,25.697439006136808
Mitchell Robinson,25.69442249342946
Jakob Poeltl,25.63824080269201
Norman Powell,25.317991768505504
Eric Gordon,25.198543858022454
T.J. McConnell,25.19324518429062
DeMarcus Cousins,25.19141521085518
Jusuf Nurkic,24.80386120741943
Darius Bazley,24.642296755961343
Steven Adams,24.59259037761322
Keldon Johnson,24.56500499146712
Rui Hachimura,24.56399890657525
Josh Hart,24.439043159265534
Ricky Rubio,24.33999147342874
Robert Williams,24.299743959515492
Kyle Kuzma,24.294013920361056
Donte DiVincenzo,24.287025660365064
Kelly Olynyk,24.229926217718102
LaMarcus Aldridge,24.112738239112815
Derrick Rose,23.94548701144004
Jae'Sean Tate,23.91072767448747
Tim Hardaway Jr.,23.857694075103
Joe Ingles,23.79079226676282
Goran Dragic,23.659353312485873
Brook Lopez,23.641319098264646
Moses Brown,23.580402902041225
Josh Jackson,23.548835131065115
Serge Ibaka,23.48043418272757
Josh Richardson,23.448634230935774
Carmelo Anthony,23.447810665928678
Hamidou Diallo,23.29303508227379
Bobby Portis,23.20828230594982
Blake Griffin,23.105263238557917
Kevin Huerter,23.060543802791393
Alec Burks,23.007999543338688
Will Barton,22.96595538729598
Eric Bledsoe,22.9237185115797
Joe Harris,22.66337986677107
Justin Holiday,22.599696578114905
Rudy Gay,22.50451971875529
Paul Millsap,22.312364978507034
Royce O'Neale,22.29544611071275
Jalen Brunson,22.284448802127322
Cole Anthony,22.279037406454567
Bojan Bogdanovic,22.236359026577663
Shake Milton,22.188668237318502
James Wiseman,22.165267594923556
Jae Crowder,22.01659931458916
Elfrid Payton,21.954152337931173
Isaiah Roby,21.843665381906764
Danny Green,21.832905099122797
Miles Bridges,21.735389643619044
Michael Carter-Williams,21.659567220003268
Cody Zeller,21.576643878434282
Seth Curry,21.526011936057134
Duncan Robinson,21.369527224986665
Thomas Bryant,21.252265892739175
Ivica Zubac,21.14906092524132
Danilo Gallinari,21.009925877743388
Daniel Theis,20.95109760503015
De'Anthony Melton,20.94550150291718
Luguentz Dort,20.808512640990823
Kevin Porter Jr.,20.800400118197288
Nicolas Batum,20.677135221479826
Tristan Thompson,20.659196179212074
Monte Morris,20.554380718194253
Dwight Howard,20.47578357242211
Lou Williams,20.450143268428025
Patrick Williams,20.126333587469304
Dorian Finney-Smith,20.10901263308653
Doug McDermott,20.09635350697246
Naz Reid,20.065659365752712
David Nwaba,20.061481518411092
DeAndre Jordan,19.792155577756592
Otto Porter,19.760843861847523
Marcus Morris,19.710214838140743
Patrick Beverley,19.70965641087333
Tomas Satoransky,19.69800231475628
Danuel House,19.672760910823435
Cam Reddish,19.59189927794061
Gary Trent Jr.,19.53019250221353
Kendrick Nunn,19.514826044134487
Maxi Kleber,19.423794693083003
Immanuel Quickley,19.415991332963156
Nerlens Noel,19.366953322168605
Derrick Jones Jr.,19.193607089870593
George Hill,19.121164738242204
Ty Jerome,18.90495751047411
Bogdan Bogdanovic,18.863637544692672
Nicolas Claxton,18.81095245251269
JaVale McGee,18.742511337869107
Hassan Whiteside,18.685937739839197
Cedi Osman,18.50718469365047
Jaden McDaniels,18.44595100700314
Patty Mills,18.397026675841527
Malik Monk,18.305198789353952
Jeremy Lamb,18.273029317550193
Theo Maledon,18.072733565639457
Grayson Allen,17.91249186788152
JaMychal Green,17.828969497448515
Isaiah Stewart,17.749163159204834
Davis Bertans,17.738124395263906
Ish Smith,17.721509025713896
Jeff Green,17.659572196183984
Derrick Favors,17.61909565080639
Lonnie Walker,17.458931716999647
Bruce Brown,17.43532978164998
Saddiq Bey,17.367800467900132
Pat Connaughton,17.228317272366183
Cameron Johnson,17.201063392152268
Tyus Jones,17.15492777901385
Marc Gasol,17.138912382559155
Willy Hernangomez,17.097371980968525
Dwayne Bacon,17.049826723819123
Dennis Smith Jr.,17.01685934681222
Raul Neto,16.87034023404105
Reggie Bullock,16.814941021658495
Isaac Okoro,16.73087694421751
Kenyon Martin Jr.,16.670314438874364
James Ennis,16.62150531638866
Robin Lopez,16.57792370217522
Bismack Biyombo,16.542381359950276
Sterling Brown,16.41875651164018
Dario Saric,16.393329422353634
Desmond Bane,16.353240734322718
Gorgui Dieng,16.339321388756428
Jordan McLaughlin,16.157501842785916
James Johnson,16.099367415656634
Mike Muscala,16.098155280839375
Alex Caruso,16.06803247350036
Cory Joseph,16.022495667534546
Andre Iguodala,15.995963494941114
Taurean Prince,15.945589259467218
Abdel Nader,15.85637408029219
Talen Horton-Tucker,15.760025893277104
Kentavious Caldwell-Pope,15.69737038088162
Khem Birch,15.636609093958581
Denzel Valentine,15.625451216423663
Cameron Payne,15.60239566963235
Xavier Tillman Sr.,15.548283890447086
Garrett Temple,15.452364725825486
PJ Dozier,15.224297541035654
Justise Winslow,15.123988932269647
Gary Harris,14.995695370435094
Jaylen Nowell,14.963139554966755
Eric Paschall,14.768714084104783
Chuma Okeke,14.692179188767753
Sviatoslav Mykhailiuk,14.615448570804478
Deni Avdija,14.57527464996567
Jarred Vanderbilt,14.52079548566993
Luke Kennard,14.486197505301265
Frank Kaminsky,14.452204875641133
Wayne Ellington,14.39878436900503
P.J. Tucker,14.394376877125914
Alex Len,14.382561446516318
Furkan Korkmaz,14.366101235466923
Kenrich Williams,14.34089618228524
Aleksej Pokusevski,14.301479312177307
Willie Cauley-Stein,14.254937615119294
Juan Hernangomez,14.245493557247853
Mo Bamba,14.198528982113778
Markieff Morris,14.137255440633957
Matisse Thybulle,13.917884429815832
Nickeil Alexander-Walker,13.907691957963507
Daniel Gafford,13.88511614409695
Justin Jackson,13.839811502122632
D.J. Augustin,13.806118330984335
Kent Bazemore,13.799587293578544
Reggie Jackson,13.796517038387602
Justin Patton,13.716466926607415
Aron Baynes,13.684715639519958
Taj Gibson,13.628690167378037
Damion Lee,13.503662314920021
Chasson Randle,13.484017839758915
Payton Pritchard,13.45272491223688
Moritz Wagner,13.35277941517574
Devin Vassell,13.172376469537856
Timothe Luwawu-Cabarrot,13.056595722156008
Kevon Looney,13.05359029427716
J.J. Redick,12.898263678728004
DeAndre' Bembry,12.825510076564525
Anfernee Simons,12.770148749745772
Jeff Teague,12.753374003694814
Ben McLemore,12.751435995016333
Jordan Poole,12.742318584353761
Saben Lee,12.633760505616962
Landry Shamet,12.501519020662426
Josh Okogie,12.384916425795563
Kira Lewis Jr.,12.339633689533654
Jaxson Hayes,12.320336334231264
Nemanja Bjelica,12.300617355488038
Rajon Rondo,12.19256339328716
Avery Bradley,12.17652766391964
Facundo Campazzo,12.09420005965689
Tony Bradley,12.012500700218757
Drew Eubanks,11.715893875180953
Precious Achiuwa,11.646740172723991
Grant Williams,11.627699809436482
